year,month,carrier,airport,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,state
2022,5,9E,ABE,136,7,5.95,0,0.05,0,1,0,0,255,222,0,4,0,29, PA
2022,5,9E,ABY,91,16,7.38,0,2.54,0,6.09,0,0,884,351,0,81,0,452, GA
2022,5,9E,ACK,19,2,0.13,0,1,0,0.88,1,0,138,4,0,106,0,28, MA
2022,5,9E,AEX,88,14,7.26,0.76,4.35,0,1.64,0,0,947,585,35,125,0,202, LA
2022,5,9E,AGS,181,19,13.84,0,3.07,0,2.09,0,0,808,662,0,87,0,59, GA
2022,5,9E,ALB,134,18,4.42,1,6.48,0,6.09,5,0,917,224,78,398,0,217, NY
2022,5,9E,ATL,3042,453,142.96,13.53,106.98,0,189.53,2,3,38397,20775,1205,3610,0,12807, GA
2022,5,9E,ATW,118,13,4.83,0,6.85,0,1.32,0,0,914,578,0,171,0,165, WI
2022,5,9E,AUS,53,8,5.23,1,0.89,0,0.88,1,0,582,445,20,19,0,98, TX
2022,5,9E,AVL,58,14,4.54,0,7.61,0,1.85,1,0,996,290,0,618,0,88, NC
2022,5,9E,AZO,91,15,9.74,0.97,3.34,0,0.95,0,0,590,450,35,87,0,18, MI
2022,5,9E,BGM,31,2,1.58,0,0.42,0,0,0,0,71,49,0,22,0,0, NY
2022,5,9E,BGR,205,40,12.3,0,8.99,0,18.71,15,0,3058,702,0,933,0,1423, ME
2022,5,9E,BHM,49,3,0,0,1,0,2,2,0,306,0,0,90,0,216, AL
2022,5,9E,BMI,71,5,1.66,0,1.4,0,1.95,0,0,256,138,0,30,0,88, IL
2022,5,9E,BNA,172,33,10.32,0,10.08,0,12.6,12,1,2618,801,0,563,0,1254, TN
2022,5,9E,BOS,322,65,12.92,3.13,31.07,0,17.88,7,0,5559,1748,855,1579,0,1377, MA
2022,5,9E,BQK,92,14,8.51,0.48,3.06,0,1.95,0,1,1506,1277,41,116,0,72, GA
2022,5,9E,BTR,60,7,4.28,0,1.83,0,0.88,0,0,357,262,0,72,0,23, LA
2022,5,9E,BTV,147,14,2.38,0.88,4.3,0,6.45,10,0,843,85,35,317,0,406, VT
2022,5,9E,BUF,262,36,14.66,0,6.59,0,14.75,22,0,3517,932,0,979,0,1606, NY
2022,5,9E,BWI,93,9,3.12,0,2.23,0,3.66,4,0,1204,389,0,156,0,659, MD
2022,5,9E,CAE,60,14,3.65,0.73,3.62,0,6,2,0,578,176,11,127,0,264, SC
2022,5,9E,CHA,67,10,5.39,0,2.59,0,2.01,0,0,336,200,0,49,0,87, TN
2022,5,9E,CHO,175,24,9,2.99,7.6,0,4.41,5,1,1740,375,633,372,0,360, VA
2022,5,9E,CHS,180,51,14.06,0,20.32,0,16.62,8,0,3297,782,0,1499,0,1016, SC
2022,5,9E,CID,119,15,6.17,1.62,1.91,0,5.31,0,1,1242,541,110,134,0,457, IA
2022,5,9E,CLE,229,40,17.77,0.15,6.98,1,14.1,17,0,2116,800,11,424,21,860, OH
2022,5,9E,CLT,238,44,14.35,0,12.59,0,17.06,21,1,3189,918,0,721,0,1550, NC
2022,5,9E,CMH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, OH
2022,5,9E,CRW,91,17,5.24,0.81,8.86,0,2.1,0,0,453,148,29,187,0,89, WV
2022,5,9E,CSG,89,10,3.68,0.13,4.08,0,2.11,0,0,709,328,10,176,0,195, GA
2022,5,9E,CVG,587,107,24.61,5.09,34.92,0,42.38,21,0,7778,1171,527,3491,0,2589, OH
2022,5,9E,CWA,92,11,1.42,1.3,5.45,0,2.83,0,0,605,53,220,198,0,134, WI
2022,5,9E,DAY,15,3,1.68,0,0.6,0,0.71,0,0,109,68,0,16,0,25, OH
2022,5,9E,DCA,205,47,12.6,0,27.89,0,6.5,6,1,2805,1074,0,1451,0,280, DC
2022,5,9E,DHN,91,22,12.29,0,2.76,0,6.95,0,1,1260,626,0,109,0,525, AL
2022,5,9E,DLH,62,6,1.31,1.94,1.32,0,1.43,0,1,364,38,90,36,0,200, MN
2022,5,9E,DSM,218,29,11.89,0.75,6.2,0,10.16,3,0,1827,827,26,340,0,634, IA
2022,5,9E,DTW,1236,124,49.89,3.91,18.93,0,51.27,6,0,13279,7133,474,1343,0,4329, MI
2022,5,9E,EVV,91,7,2.33,0,1.75,0,2.92,0,0,329,126,0,65,0,138, IN
2022,5,9E,EWR,157,37,5.79,2.15,26.96,0,2.09,10,0,2152,317,67,1660,0,108, NJ
2022,5,9E,EYW,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0, FL
2022,5,9E,FAY,92,10,8.58,0,0,0,1.42,0,0,485,447,0,0,0,38, NC
2022,5,9E,FSD,31,3,1,0,2,0,0,0,0,119,87,0,32,0,0, SD
2022,5,9E,FWA,89,17,9.9,0,2.96,0,4.15,0,0,2112,1700,0,124,0,288, IN
2022,5,9E,GNV,22,4,2.89,0,1.11,0,0,0,0,173,140,0,33,0,0, FL
2022,5,9E,GPT,48,3,2,0,1,0,0,0,0,184,164,0,20,0,0, MS
2022,5,9E,GRR,80,13,4.92,0,2.71,0,5.37,6,0,1390,836,0,296,0,258, MI
2022,5,9E,GSO,114,19,7.61,0,7.06,0,4.34,6,0,2492,492,0,771,0,1229, NC
2022,5,9E,GSP,80,14,4.66,0,4.73,0,4.61,4,0,1246,232,0,747,0,267, SC
2022,5,9E,GTR,90,9,2.89,0,3.94,0,2.17,0,0,453,198,0,114,0,141, MS
2022,5,9E,HPN,101,13,6.09,0.44,4.33,0,2.14,1,1,605,401,7,113,0,84, NY
2022,5,9E,ILM,120,21,3.02,0.95,14.6,0,2.43,2,0,1068,169,52,714,0,133, NC
2022,5,9E,IND,175,27,11.42,1.7,6.9,0,6.98,7,0,2571,885,267,543,0,876, IN
2022,5,9E,ITH,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0, NY
2022,5,9E,JFK,1773,308,72.59,12.69,133.95,0,88.76,92,8,34125,9045,2603,12766,0,9711, NY
2022,5,9E,LAN,91,8,3.29,1.33,1.9,0,1.48,0,0,448,192,42,60,0,154, MI
2022,5,9E,LEX,86,16,5.85,1.26,7.59,0,1.3,0,0,683,334,72,229,0,48, KY
2022,5,9E,LFT,112,13,6.39,0,4.79,0,1.83,0,1,705,431,0,207,0,67, LA
2022,5,9E,LGA,2963,540,100.8,31.05,295.39,0,112.76,194,5,52676,16031,4360,24258,0,8027, NY
2022,5,9E,MBS,87,12,9.78,0.65,1.46,0,0.11,0,1,1383,1307,28,39,0,9, MI
2022,5,9E,MCI,27,3,1,0,0.79,0,1.21,1,0,123,19,0,25,0,79, MO
2022,5,9E,MEM,58,10,4.12,0,2.68,0,3.2,2,0,1115,121,0,54,0,940, TN
2022,5,9E,MGM,143,27,14.12,0.38,7.63,0,4.87,0,0,1242,758,8,221,0,255, AL
2022,5,9E,MKE,189,30,9.83,1,7.92,0,11.25,9,0,2024,645,89,407,0,883, WI
2022,5,9E,MLI,122,14,8.77,0.09,3.75,0,1.4,0,0,1199,946,9,173,0,71, IL
2022,5,9E,MLU,85,16,5.74,1.04,4.78,0,4.43,0,0,894,410,111,157,0,216, LA
2022,5,9E,MOB,82,16,9.96,0,3.65,0,2.39,0,1,950,658,0,176,0,116, AL
2022,5,9E,MOT,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ND
2022,5,9E,MSN,84,12,3.71,0.74,2.69,0,4.86,4,0,1498,395,279,427,0,397, WI
2022,5,9E,MSP,713,94,30.01,1,31.29,0,31.7,3,2,6886,2699,27,1279,0,2881, MN
2022,5,9E,MYR,62,8,1.75,0.32,4.85,0,1.08,0,0,365,45,28,239,0,53, SC
2022,5,9E,OAJ,88,17,9.22,0.71,3.05,0,4.02,0,0,961,475,96,129,0,261, NC
2022,5,9E,OMA,31,8,2.02,0.97,3.94,0,1.07,1,0,919,49,163,407,0,300, NE
2022,5,9E,ORD,62,10,3.05,0,2.93,0,4.02,5,1,2614,1059,0,1157,0,398, IL
2022,5,9E,ORF,250,38,9.19,1.29,18.25,0,9.28,18,0,3790,947,60,1901,0,882, VA
2022,5,9E,ORH,27,4,1,0,1.56,0,1.44,0,0,207,124,0,31,0,52, MA
2022,5,9E,PIT,164,16,5.72,0,4.56,0,5.71,4,0,1108,322,0,284,0,502, PA
2022,5,9E,PVD,80,14,5.39,0,1.48,0,7.13,7,0,845,473,0,85,0,287, RI
2022,5,9E,RDU,413,83,16.5,3.39,27.29,0,35.83,20,0,8375,1368,1788,2059,0,3160, NC
2022,5,9E,RIC,331,64,25.36,0.5,17.3,0,20.84,11,1,4734,2214,12,943,0,1565, VA
2022,5,9E,ROA,39,4,2.69,0.93,0.38,0,0,0,1,286,197,70,19,0,0, VA
2022,5,9E,ROC,180,21,5.96,1,4.56,0,9.48,11,0,1725,532,275,333,0,585, NY
2022,5,9E,RST,31,2,1.47,0,0.47,0,0.06,0,1,174,149,0,17,0,8, MN
2022,5,9E,SAV,178,32,4.79,0.95,15.63,0,10.63,6,0,2063,434,89,917,0,623, GA
